iter	Passed	Remaining
144	10818	63790
145	10833	63369
146	10898	63238
147	10929	62918
148	10945	62512
149	10960	62108
150	10975	61711
151	10990	61318
152	11006	60929
153	11020	60538
154	11037	60171
155	11053	59804
156	11072	59452
157	11085	59074
158	11100	58711
159	11113	58343
160	11129	57997
161	11145	57651
162	11159	57305
163	11174	56963
164	11190	56629
165	11204	56293
166	11221	55973
167	11237	55654
168	11251	55325
169	11268	55014
170	11282	54696
171	11300	54399
172	11342	54222
173	11375	54001
174	11395	53723
175	11411	53425
176	11430	53148
177	11442	52841
178	11458	52555
179	11483	52314
180	11496	52022
181	11517	51764
182	11532	51486
183	11547	51210
184	11562	50937
185	11575	50657
186	11589	50387
187	11601	50107
188	11619	49860
189	11637	49614
190	11656	49371
191	11667	49099
192	11680	48841
193	11695	48589
194	11707	48330
195	11720	48076
196	11732	47824
197	11746	47578
198	11764	47352
199	11807	47231
200	11830	47026
201	11842	46783
202	11855	46547
203	11870	46317
204	11890	46110
205	11908	45897
206	11931	45708
207	11940	45464
208	11967	45291
209	11971	45034
210	11986	44819
211	12002	44612
212	12017	44401
213	12031	44191
214	12045	43978
215	12058	43767
216	12066	43538
217	12078	43328
218	12092	43123
219	12105	42921
220	12120	42725
221	12135	42529
222	12149	42332
223	12162	42135
224	12169	41917
225	12182	41722
226	12218	41606
227	12256	41498
228	12270	41313
229	12286	41133
230	12300	40949
231	12319	40780
232	12332	40596
233	12344	40409
234	12351	40207
235	12365	40031
236	12397	39912
237	12411	39737
238	12427	39569
239	12454	39439
240	12463	39253
241	12473	39071
242	12480	38878
243	12482	38675
244	12484	38472
245	12486	38271
246	12488	38072
247	12492	37879
248	12494	37682
249	12495	37487
250	12497	37293
251	12499	37101
252	12501	36911
253	12503	36722
254	12506	36539
255	12509	36354
256	12510	36169
257	12512	35986
258	12514	35804
259	12526	35652
260	12528	35474
261	12530	35296
262	12533	35121
263	12535	34947
264	12539	34778
265	12541	34606
266	12543	34435
267	12545	34265
268	12547	34097
269	12549	33930
270	12553	33770
271	12556	33605
272	12557	33441
273	12559	33279
274	12562	33118
275	12604	33064
276	12608	32909
277	12610	32750
278	12612	32594
279	12614	32437
280	12616	32282
281	12618	32127
282	12620	31973
283	12622	31822
284	12624	31671
285	12626	31520
286	12627	31371
287	12629	31223
288	12631	31076
289	12633	30930
290	12656	30836
291	12658	30691
292	12659	30547
293	12661	30405
294	12663	30264
295	12665	30123
296	12667	29984
297	12669	29845
298	12671	29708
299	12674	29572
300	12675	29436
301	12678	29302
302	12682	29172
303	12683	29039
304	12686	28908
305	12688	28776
306	12689	28644
307	12690	28513
308	12692	28384
309	12696	28259
310	12698	28132
311	12700	28005
312	12703	27882
313	12705	27758
314	12709	27638
315	12714	27520
316	12718	27402
317	12721	27282
318	12724	27163
319	12725	27042
320	12727	26922
321	12729	26802
322	12730	26682
323	12731	26563
324	12732	26445
325	12734	26327
326	12735	26210
327	12737	26097
328	12739	25981
329	12740	25867
330	12742	25753
331	12743	25640
332	12744	25527
333	12745	25415
334	12747	25304
335	12748	25193
336	12749	25083
337	12752	24977
338	12754	24869
339	12755	24761
340	12757	24653
341	12758	24546
342	12759	24440
343	12760	24334
344	12762	24229
345	12763	24124
346	12764	24020
347	12765	23917
348	12768	23816
349	12769	23714
350	12770	23612
351	12772	23512
352	12773	23411
353	12774	23312
354	12777	23214
355	12779	23117
356	12780	23019
357	12782	22923
358	12784	22826
359	12785	22729
360	12786	22633
361	12787	22537
362	12789	22442
363	12790	22348
364	12791	22254
365	12793	22160
366	12794	22067
367	12795	21975
368	12797	21884
369	12798	21792
370	12799	21700
371	12800	21609
372	12801	21519
373	12802	21429
374	12803	21339
375	12804	21250
376	12805	21161
377	12806	21073
378	12807	20985
379	12808	20897
380	12809	20811
381	12810	20724
382	12812	20640
383	12813	20554
384	12814	20469
385	12815	20384
386	12816	20300
387	12817	20216
388	12818	20133
389	12819	20050
390	12820	19968
391	12821	19885
392	12822	19804
393	12823	19722
394	12824	19642
395	12825	19561
396	12827	19483
397	12828	19404
398	12829	19324
399	12830	19246
400	12831	19167
401	12833	19089
